Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-19;Liu RW et al.;23.06.2026;24.06.2026;J Health Commun;2026;Wie Risikoperception und Informationssuche Impfbereitschaft lenken;Studie testet das erweiterte Integrative Behavioral Prediction Model: Wie Risikowahrnehmung über Informationssuche und kognitive Überzeugungen zu Impfintention führt, in Italien und USA.;"Italien: Risikowahrnehmung führte zu Impfintention durch Informationssuche und SDM-Faktoren (Einstellung zu sozialer Distanz; injunktive Normen + Selbstwirksamkeit zu Masken). USA: Kein solches Muster. Einstellung, injunktive Normen und Selbstwirksamkeit vorhersagend in beiden Ländern; deskriptive Normen nur in USA relevant.";"Vergleich USA-Italien zeigt, dass kulturelle/strukturelle Faktoren Informationsverarbeitung prägen; Erkenntnisse zu kognitiven Verarbeitungspfaden kultur-abhängig.";42338078;https://pubmed.ncbi.nlm.nih.gov/42338078/
2026-09-18;Wagner T et al.;02.09.2026;17.09.2026;Front Public Health;2026;Geschulte Community Health Worker reduzieren soziale Gesundheitsbarrieren für ältere Erwachsene;Beschreibt ein Health-Literacy-zentriertes Schulungsmodell für Community Health Worker und Frontline-Fachkräfte, das auf Screening und Navigation bei sozialgebundenen Gesundheitsrisiken bei älteren Menschen abzielt, mit Evaluationsergebnissen von 201 Absolventen.;Durchschnittliches Nachschulungswissen 84,9% (SD=9,23). Teilnehmende zeigten Sicherheit in der Anwendung von Health-Literacy-informierter Kommunikation und Screening-Strategien. 167 Teilnehmende (83,1%) beabsichtigten, trainierte Strategien umzusetzen. Längsschnitte zur Messung tatsächlicher Verhaltensänderung und Gesundheitsergebnisse stehen aus.;"USA; Modell prinzipiell übertragbar, erfordert Anpassung an deutsche Versorgungsstrukturen";42751334;https://pubmed.ncbi.nlm.nih.gov/42751334/
2026-09-18;Pontrucher A et al.;16.09.2026;16.09.2026;Eur J Pediatr;2026;Verständliche Schulung zu Infektionsprävention erhöht Wissen bei Schwangeren;Evaluierte eine Schulungsmaterial für Schwangere zur Vorbeugung postnatal erworbener Neugeborenenherpes im Vergleich zu Routineversorgung.;Bei Frauen mit Schulungsmaterial (n=200) waren Wissenswerte zur Übertragung und Prävention deutlich höher als ohne Schulung (n=500), z.B. Kenntnis von Übertragung durch Lippenbläschen p<0,001. 94,5% der geschulten Frauen berichteten hohe Motivation, Maßnahmen umzusetzen, 98,0% wollen diese in der Familie fördern. Von Fachkräften beurteilten 92,3% das Material als gut geeignet und wollen es weiterverwenden.;Frankreich, vergleichbare antenatale Versorgungsstruktur in Europa;42749933;https://pubmed.ncbi.nlm.nih.gov/42749933/
2026-09-18;Ahmed A et al.;16.09.2026;16.09.2026;J Med Internet Res;2026;Übermäßiges Vertrauen in KI-Gesundheitsinformation bei hoher Nutzerabhängigkeit;Zwei RCTs (N=338 und N=563) untersuchten, wie gelernte Abhängigkeit von generativer KI das Vertrauen in KI-generierte Gesundheitsinformationen beeinflusst und ob visuelle Markierungen Übervertrauen mildern.;"Informationsgenauigkeit hatte signifikanten positiven Effekt auf Vertrauen (Exp. 1: B=2,107, 95%-KI 1,337–2,878, p<0,001; Exp. 2: B=0,203, 95%-KI 0,115–0,290, p<0,001). Gelernte Abhängigkeit war positiv mit Vertrauen verbunden (Exp. 1: B=0,277, p=0,03; Exp. 2: B=0,822, p<0,001), aber Interaktion Genauigkeit×Abhängigkeit negativ und signifikant (Exp. 1: B=-0,399, p<0,001; Exp. 2: B=-0,459, p<0,001): Höhere Abhängigkeit schwächt Sensibilität für Ungenauigkeit. Visuelle Markierungen hatten keine signifikante Wirkung.";"USA; grundlegende Erkenntnisse zu Vertrauen und kritischer Bewertung systemübergreifend relevant";42747973;https://pubmed.ncbi.nlm.nih.gov/42747973/
2026-09-18;AbuSalameh H et al.;24.08.2026;15.09.2026;Nutrients;2026;Patientenbeteiligung deckt Lücke in Vorbereitung zu Stammzelltransplantation auf;Befragte 49 Fachkräfte an 16 britischen und irischen pädiatrischen Stammzelltransplantationszentren sowie 8 Kinder, Jugendliche und Angehörige zu Prehabilitation vor der Transplantation.;Formale Prehabilitation meldeten 27 (55,1%) Zentren. Ernährungsberatung am häufigsten (72%), Bewegungsinterventionen am seltensten (26%). Fachkräfte benannten Personalknappheit als Hauptbarriere (95%). Patienten wünschten sich flexible, hybride (online und vor Ort) und familienorientierte Formate. Durchführung beschrieben als „reaktiv und inkonsistent;Vereinigtes Königreich, vergleichbare NHS-Struktur, europäisches Gesundheitssystem;42738936;https://pubmed.ncbi.nlm.nih.gov/42738936/
2026-09-18;Ferreira N et al.;28.08.2026;12.09.2026;Front Public Health;2026;Fragebogen zur Messung der Gesundheitskompetenz in der Schwangerenbetreuung validiert;Validierte die portugiesische Version des 12-Item European Health Literacy Survey (HLS19-Q12) an 886 schwangeren Frauen zur Überwachung der Gesundheitskompetenz in der antenatalen Versorgung.;"Unidimensionale Struktur bestätigt (χ²(50)=221,77, p<0,001; CFI=0,993; TLI=0,991; RMSEA=0,062). Interne Konsistenz hoch (α=0,86; ω=0,87). Faktorladungen 0,59–0,80. Moderate positive Korrelationen mit digitaler (r=0,65) und navigatorischer (r=0,61) Gesundheitskompetenz stützten Konstruktvalidität. Instrument ist gültig und zuverlässig.";Portugal, europäische Ausgangslage, überwiegend übertragbar;42729298;https://pubmed.ncbi.nlm.nih.gov/42729298/
2026-09-18;Syniuk I et al.;2026;11.09.2026;Pol Merkur Lekarski;2026;Psychoedukation reduziert psychische Symptome bei Kriegstraumatisierung;Metaanalyse von 8 Studien (6 RCTs, n=872) zur Wirksamkeit von Psychoedukation bei posttraumatischen Belastungs- und Angststörungen in und nach bewaffneten Konflikten.;Gepoolte Effektgröße SMD=0,34 (95%-KI [0,13, 0,54]), ein moderater therapeutischer Effekt mit statistisch signifikanter Reduktion psychischer Symptome. Gruppensettings und Kombination mit Pharmakotherapie zeigten stärkere Ergebnisse. Digitale Formate hilfreich in Settings mit eingeschränktem Zugang zu Präsenzberatung, besonders in konfliktbetroffenen und vertriebenen Gemeinschaften.;"Ukraine, Konfliktkontext; digitale Komponente systemabhängig, aber Kerneffekt übertragbar";42726818;https://pubmed.ncbi.nlm.nih.gov/42726818/
2026-09-18;Mosakowska M et al.;27.06.2026;29.06.2026;BMC Nephrol;2026;Prädialyseschulungen ermöglichen informierte Wahl zwischen Dialyseverfahren;Retrospektive Untersuchung, wie Prädialyseschulung (1,5–2,0 h Gruppentreffen) Patienten bei der Wahl zwischen Peritonealdialyse (PD) und Hämodialyse beeinflusst.;"Von 118 Patienten mit Schulung wählten 74 (62,7%) PD; tatsächlich begannen 61 (52%) damit. Keine medizinischen Kontraindikationen fanden sich bei 75 (63,5%) Patienten. Faktoren, die PD reduzierten: höheres Alter (p=0,010), Diabetes (p=0,008), hoher BMI (p=0,010), Narben von Bauchoperationen (p=0,029), Abhängigkeit von Drittparteien (p=0,013). 91,5% berichteten geeignete Wohnverhältnisse.";Polen, europäisches Sozialversicherungssystem, direkt übertragbar;42374278;https://pubmed.ncbi.nlm.nih.gov/42374278/
2026-09-17;Stapleton JL et al.;Sept. 2026;16.09.2026;Psychooncology;2026;Klinische Studienvorbehalte senken sich durch Familieneinbindung;Querschnittsbefragung von 116 Krebspatienten an einem US-Zentrum, das ländliche Appalachien-Region versorgt, zu Wahrnehmung von klinischen Studien und Einflussfaktoren auf Partizipationsintention.;"Teilnehmer (Alter ø 64,5 Jahre; 97,4 % weiß; 51,7 % weiblich; 60 % aus Appalachien) hielten insgesamt positive Einstellungen zu Studien. Studienwissen war signifikant niedriger bei Teilnehmern mit niedrigerem Einkommen (p < 0,05) und Appalachien-Wohnort (p < 0,05). Intention war signifikant assoziiert mit Einstellung, Überzeugung zu neuen Therapien und wahrgenommener Familienunterstützung (beide univariat und multivariat). Adressat: Familieneinbindung ist Schlüssel zur informierten Entscheidung.";USA (ländlich), aber Ungleichheitsaspekt (Bildung, Einkommen, Region) universal relevant.;42747098;https://pubmed.ncbi.nlm.nih.gov/42747098/
2026-09-17;Phogat R et al.;Sept. 2026;15.09.2026;Spec Care Dentist;2026;Elterliche Mundgesundheitskompetenz senkt Zahnkaries bei Kindern mit Behinderung;Querschnittsstudie mit 116 Kindern/Jugendlichen mit Behinderungen und 336 gesunden Alterskontrollen in Indien zur Assoziation zwischen elterlicher Mundgesundheitskompetenz und klinischer Zahnerkrankung.;"Zahnkaries war bei Kindern mit Behinderungen deutlich höher (70,7 % vs. 35,3 %; mittlerer DMFT 2,59 ± 2,84 vs. 0,82 ± 1,47; p < 0,001). Eltern mit moderater Literalität erhöhten die Kariesquote (OR = 2,24), niedrige Literalität erhöhte sie vierfach (OR = 4,07; p = 0,008). Strukturelle Pfadanalyse zeigte, dass Sozioökonomie die Elternkompetenz beeinflusst (β = 0,21; p = 0,007), diese Verhaltensweisen verbessert (β = 0,39; p = 0,006) und Krankheit senkt (β = -0,33; p = 0,008).";"Indien; Mechanism universal, aber Voraussetzungen unterschiedlich; methodisch wertvoll.";42742483;https://pubmed.ncbi.nlm.nih.gov/42742483/
2026-09-17;Pan Y et al.;31.08.2026;15.09.2026;Front Public Health;2026;Digitale Gesundheitskompetenz vermittelt zwischen Sozialsupport und Gesundheitsverhalten;Cross-sectional-Studie mit 1030 Erwerbstätigen in Shanghai zur Mediationswirkung von Digital Health Literacy (DHL) auf den Zusammenhang zwischen Sozialsupport und gesundheitsförderndem Lebensstil.;"Sozialsupport war positiv mit DHL (r = 0,176, p < 0,001) und mit Lebensstilmaßnahmen korreliert (r = 0,324, p < 0,001). DHL vermittelte partial diesen Zusammenhang (indirekter Effekt = 0,113, 95%-KI [0,065; 0,170]); nur die Anwendungsdimension der DHL war signifikant. Das erklärt 13,9 % des Gesamteffekts. Digitale Fertigkeiten übersetzen soziale Unterstützung in konkrete Verhaltensänderungen.";"China, aber Mechanismus der Gesundheitskompetenz universell; für DACH adaptierbar.";42741021;https://pubmed.ncbi.nlm.nih.gov/42741021/
2026-09-17;Eklund K et al.;31.07.2026;14.09.2026;Semin Vasc Surg;2026;Entscheidungshilfe für symptomatische Karotisstenose verbessert Partizipation;Eine multidisziplinäre Studie entwickelte mittels nutzerzentrierten Designs eine Entscheidungshilfe für Patienten mit symptomatischer Karotisstenose, um Shared Decision Making vor Revaskularisierungen zu unterstützen.;"35 Patienten und 9 Kliniker beurteilten das Material: 82,9 % der Patienten fanden die Hilfe sehr wertvoll, 73,5 % würden sie weiterempfehlen. 100 % der Kliniker bescheinigten Nützlichkeit; 90 % (Kliniker) und 65,7 % (Patienten) nahmen die Information als ausgewogen wahr. Die Hilfe ist klinisch akzeptabel und adressiert eine ungedeckte Lücke in der Versorgung.";"Entwicklungsprozess ist systemunabhängig; USA, aber universelle Designprinzipien.";42735963;https://pubmed.ncbi.nlm.nih.gov/42735963/
2026-09-17;Hernandez S et al.;14.09.2026;14.09.2026;JMIR Form Res;2026;Remote Monitoring hebt Arzneimittelsicherheit bei niedriger Gesundheitskompetenz;Post-hoc-Analyse eines Pilottrials zur Testung, ob digitale Fernüberwachung (Remote Patient Monitoring, RPM) die Adhärenz zu Capecitabin bei Brustkrebs modifiziert, besonders bei Patienten mit niedriger Gesundheitskompetenz.;"28 Patientinnen: RPM gegenüber Enhanced Usual Care (EUC) zeigte bei niedriger Gesundheitskompetenz Adhärenzunterschied von +22,1 Prozentpunkten (95%-KI 6,2–37,9; p = 0,008) zugunsten RPM. Bei hoher Gesundheitskompetenz war der Unterschied +5,7 Prozentpunkte (p = 0,29). In EUC war niedriger Literalität mit 18,6 Prozentpunkten niedrigerer Adhärenz verbunden (p = 0,01); unter RPM nur 2,3 Prozentpunkte (p = 0,73). Interaktionstest knapp nicht signifikant (p = 0,09), aber Effektrichtung und Magnitude unterstützen weitere Untersuchung.";USA, aber Vulnerabilität und Intervention international relevant.;42735397;https://pubmed.ncbi.nlm.nih.gov/42735397/
2026-09-17;Mataranga J et al.;10.09.2026;10.09.2026;JMIR Form Res;2026;Partizipatives Design einer Nierenkranken-Plattform mit Patienten und Fachleuten;Formative Studie zur nutzerzentrierten Mitgestaltung einer digitalen Plattform für Patienten mit chronischer Nierenerkrankung (CKD) in Frankreich, um Bildung, Selbstmanagement und Shared Decision Making zu unterstützen.;In drei Phasen wurden Interviews mit 8 Stakeholdern (3 Fachpersonen, 5 Patienten) und zwei Co-Design-Fokusgruppen durchgeführt. Fünf zentrale Themen wurden identifiziert: Bedarf nach zuverlässiger Information, Angst bei Übergängen, Nachfrage nach praktischer Lebensführung, reassurante Sprache und Wert von moderiertem Peer-Austausch. Mehr als 30 inhaltliche Items wurden in fünf Kategorien strukturiert und informierten die Plattformarchitektur.;"Frankreich, OECD-Versicherungssystem; Methode international übertragbar.";42721212;https://pubmed.ncbi.nlm.nih.gov/42721212/
2026-09-17;Mazur J et al.;24.06.2026;30.06.2026;Ann Agric Environ Med;2026;Niedrige Gesundheitskompetenz verdreifacht psychische Belastung bei Jugendlichen;Online-Befragung von 9026 polnischen Schülern (13–17 Jahre) zur Assoziation zwischen Gesundheitskompetenz und mentalen Gesundheitsprofilen nach dem Dual-Continua-Modell (Wohlbefinden und psychosomatische Beschwerden).;"57,1 % berichteten häufige psychosomatische Beschwerden, 24,5 % niedriges Wohlbefinden. Sechs mentale Profile wurden identifiziert. Niedrige Gesundheitskompetenz verdreifachte das Risiko, in die ungünstigste Gruppe zu fallen (OR = 3,06; 95%-KI: 2,43–3,85). Ländliches Leben war protektiv (OR = 0,82; 95%-KI: 0,69–0,97).";"Polen, Europa; Schulsystem und Sozialversicherung vergleichbar mit Deutschland.";42374679;https://pubmed.ncbi.nlm.nih.gov/42374679/
2026-09-16;Demirhan Kayacik A et al.;15.09.2026;15.09.2026;Arch Womens Ment Health;2026;Strukturierte Schulung zu Symptommustern verbessert Selbstmanagement prämenstrueller Syndrome;Randomisierte kontrollierte Studie mit 101 Frauen mit Prämenstruellem Syndrom: Interventionsgruppe erhielt strukturierte Schulung basierend auf Symptomkarte mit evidenzgestützten Selbstpflegemaßnahmen.;Interventionsgruppe vs. Kontrolle: signifikant niedrigere Schmerzen (adj. Mittel 4,21 vs. 6,81, p < 0,001) und Stress (8,54 vs. 12,03, p < 0,001) bei Nachuntersuchung. Intervention besonders wirksam für Teilnehmerinnen mit höherer Baseline-Symptombelastung. Verbesserungen in prämenstrueller Lebenszufriedenheit, Reduktion depressiver Symptome trug dazu bei.;Türkei, Schulungsansatz sprach- und settingübergreifend anwendbar;42742795;https://pubmed.ncbi.nlm.nih.gov/42742795/
2026-09-16;Shen X et al.;31.08.2026;15.09.2026;Front Public Health;2026;Digitale Kompetenz und Gesundheitskompetenz bei älteren Lernenden: Korrelationen und Assoziation;Querschnittstudie mit 558 älteren Teilnehmerinnen und Teilnehmern in Shanghaier Universitäten der Dritten Lebensalter zu Beziehungen zwischen digitaler Kompetenz (DigComp 2.2) und Dimensionen der Gesundheitskompetenz (HLQ).;Mittlere digitale Kompetenz 63,4 (SD 12,4). Alle DigComp-Bereiche korreliert positiv mit Health-Literacy-Skalen (r = 0,285–0,538). Nach Adjustment stärker assoziiert: Information-und-Datenkompetenz mit Bewertung von Gesundheitsinformation (B = 0,16, p < 0,001), Navigieren im Gesundheitssystem (B = 0,21, p < 0,001), Finden guter Informationen (B = 0,24, p < 0,001) und Verstehen (B = 0,19, p < 0,001).;China, Ergebnisse zur Kompetenzförderung kulturübergreifend relevant;42741101;https://pubmed.ncbi.nlm.nih.gov/42741101/
2026-09-16;Wutthipan N et al.;21.08.2026;15.09.2026;Int J Equity Health;2026;Gesundheitskompetenz in früher Kindheit: Determinanten bei marginalisierten ethnischen Gemeinschaften in Thailand;Querschnittstudie mit 380 primären Pflegepersonen aus marginalisierten ethnischen Minderheitsgemeinschaften in drei Grenzprovinzen Thailands zu Ebenen und Determinanten der Gesundheitskompetenz.;"Gesamtkomponierte Gesundheitskompetenz moderat (135,04/199 = 67,9 %); niedrig im interaktiven Bereich (Kommunikation von Bedarfen). Stark prädiktiv: Krankenpflege-geführte Beratung (B = 9,318, p = 0,027), Information von Provinzhospitälern (B = 9,013, p = 0,030), frühen Entwicklungszentren (B = 7,531, p = 0,032), wahrgenommene finanzielle Angemessenheit (B = 3,470, p = 0,013), Schulbildung (B = 3,064, p = 0,007) und Parität (Erstgebärende vulnerabel, B = 3,252, p = 0,006).";Thailand, Befunde zu institutionalisierten Face-to-Face-Interventionen für vulnerable Gruppen relevant;42736561;https://pubmed.ncbi.nlm.nih.gov/42736561/
2026-09-16;Reviriego-Rodrigo E et al.;29.07.2026;28.07.2026;Int J Technol Assess Health Care;2026;Patienten in Technologiebewertung einbeziehen: Implementierung eines Evaluationsprotokolls;Protokoll für kontinuierliche Überwachung der Patientenbeteiligung in Health-Technology-Assessment der spanischen HTA-Netzwerk (RedETS).;"41 % der 49 HTA-Berichte schlossen Patienten ein (hauptsächlich durch Protokollreview, Validierung, Konsultationen). 59 % hatten keine Beteiligung; 21 % davon versuchten Rekrutierung, scheiterten aber. Beteiligung umfasste oft nur einen Patienten und kleine Anteile der Bewertungszeit. Patienten schätzten Mitarbeit, nannten aber unklare Erwartungen, Fachsprache und fehlende Rückmeldung als Hürden.";Spanien, vergleichbare Sozialversicherung und Patientenrechte wie Deutschland;42521662;https://pubmed.ncbi.nlm.nih.gov/42521662/
2026-09-16;Plotho L et al.;08.07.2026;08.07.2026;Z Evid Fortbild Qual Gesundhwes;2026;Verständliche Gesundheitsinformationen in der Hausarztpraxis: Nutzung und Bedarf in Österreich;Querschnittserhebung unter 891 österreichischen Hausärztinnen und Hausärzten zur Nutzung, Themenauswahl und Quellen von Informationsblättern in der Praxis.;"41,3 % der Befragten nutzen Gesundheitsinformationsblätter; 35,7 % setzen ausschließlich selbst erstellte Materialien ein. Der Bedarf ist deutlich: 54,1 % bevorzugen Papierformat, 29,2 % ein Mix aus Papier und Digital. Größter Informationsbedarf zu Endokrinologie, Ernährung und Infektionskrankheiten.";Österreich, vergleichbares Arztpraxissystem wie Deutschland;42420105;https://pubmed.ncbi.nlm.nih.gov/42420105/
2026-09-16;French HP et al.;26.06.2026;29.06.2026;Musculoskelet Sci Pract;2026;Verkürzte Bildung und Übungen verbessern gluteale Tendinopathie: Machbarkeitsstudie in Irland;Machbarkeitsstudie mit 65 Teilnehmern (89 % Frauen, Alter 53,1 ± 9,3 Jahre) zu Machbarkeit einer auf 6 Sitzungen verkürzten Intervention (EDX-Ireland) mit Schulung, Abduktor-Stärkung und funktionalem Training über 8 Wochen versus Standardbehandlung.;"Rekrutierungsquote 55 % (65 von 119 gescreenten); 83 % über soziale Medien/Gemeinschaft rekrutiert, 3 % von Hausärzten, 14 % von Fachambulanz. Behalt 92 % nach 8 Wochen (95% CI 82–97 %, n = 60), 89 % nach 3 Monaten (95% CI 79–96 %, n = 58). Vordefinierte Schwellwerte erreicht. Für zukünftige RCT würden 134 Teilnehmer erforderlich sein.";Irland, vergleichbarer Versorgungsansatz und Sprachkontext wie deutschsprachiger Raum;42372389;https://pubmed.ncbi.nlm.nih.gov/42372389/
2026-09-15;Lammons W et al.;Okt. 2026;14.09.2026;Health Expect;2026;Verstehen von Frailty durch kreative Beteiligung: Wandel von Fachbegriffen in der Patientenkommunikation;Qualitative Studie mit kreativen Partizipations-Workshops (Poetry, Quilting) zur Verständlichkeit des Begriffs ‚Frailty' und zu Kommunikationsbarrieren im englischen NHS.;"22 Teilnehmer in 3 Workshops; Qualitative Analyse ergab drei zentrale Themen: Probleme mit dem Begriff ‚Frailty' selbst, Notwendigkeit personalisierter Patientenkommunikation und Zeitdruck in Gesundheitsdiensten. Befund zeigt, dass nicht-diskursive Beteiligung neue Erkenntnisse über komplexe Konzepte offenbart.";Großbritannien (NHS), Methode für Deutschland übertragbar: Partizipation mit diversen Bevölkerungsgruppen stärkt Relevanz von Fachbegriffen.;42734162;https://pubmed.ncbi.nlm.nih.gov/42734162/
2026-09-15;Khdair S et al.;Sept. 2026;08.09.2026;Brain Behav;2026;Kommunikationsschwierigkeiten verschärfen Probleme mit Medikamentenbeteiligung bei Multipler Sklerose;Querschnittsstudie (307 MS-Patienten, Jordanien) zur Assoziation von Kommunikationsschwierigkeiten mit Gesundheitskompetenz und Medikamentenadhärenz.;"Kommunikationsschwierigkeiten häufig berichtet (Wortfindung, Gedankenfolge, Gedächtnisbelastung); niedrigere Gesundheitskompetenz signifikant assoziiert mit höheren Kommunikationsproblemen; höhere Medikamentenbedenken unabhängig mit schlechterer Kommunikation. Medikamentenadhärenz, Überzeugungskomponenten, Alter und Geschlecht nicht signifikant im adjustierten Modell.";"Mittlere Übertragbarkeit: Jordanien, arabischsprachig; Problem Kommunikations-Barrieren und Gesundheitskompetenz aber Krankheit-unabhängig relevant.";42706782;https://pubmed.ncbi.nlm.nih.gov/42706782/
2026-09-15;Hejla D et al.;Okt. 2026;07.09.2026;J Genet Couns;2026;Digitale Aufklärung vor genetischer Beratung: Patientenbefähigung und Praktikabilität;"Pilotstudie einer webbasierten Plattform (Genetics Adviser) zur Prätest-Aufklärung vor genetischer Beratung in Kanada; gemischte Methoden mit Surveys, Google Analytics und qualitativen Interviews.";85 von 102 (83 %) Patienten/Betreuer nutzten Plattform, 71 (70 %) über Startseite hinaus, 60 (59 %) vollständig. Hohe Zuversicht genetisches Verständnis (Genomics Outcome Scale 77/100). Provider identifizierten technische und inhaltliche Limitationen. Weitere Forschung für diverse Populationen und Langzeit-Effekte nötig.;"Kanada (ähnliches System), direkt vergleichbar: Digitale Barrierenabbau in komplexen Aufklärungsprozessen; Implementierungshürden aber noch offen.";42702971;https://pubmed.ncbi.nlm.nih.gov/42702971/
2026-09-15;Ertürk Ö et al.;Sept. 2026;07.09.2026;Psychogeriatrics;2026;eHealth Literacy moderiert Wirkung von Lebensstiländerungen bei älteren Erwachsenen;Path-Analyse (251 ältere Türken) zur indirekten Wirkung gesunder Lebensstiländerungen auf Selbstvernachlässigung über eHealth Literacy als Mediator.;"Gesunde Lebensstiländerungen direkt mit eHealth Literacy assoziiert (β=0,423, p<0,001); eHealth Literacy invers mit Selbstvernachlässigung (β=-0,300, p<0,001). Indirekte Assoziation durch eHealth Literacy statistisch signifikant (β=-0,127, p<0,001). Modell zeigt, dass Lebensstiländerungen nur über höhere eHealth Literacy zu weniger Selbstvernachlässigung führen.";Mittlere Übertragbarkeit: Türkei, ähnliche Sozialversicherung, älter- und genderdiverse Populations-Strukturen relevant auch für Deutschland.;42702775;https://pubmed.ncbi.nlm.nih.gov/42702775/
2026-09-15;Kandasamy G et al.;21.08.2026;05.09.2026;Front Public Health;2026;Vertrauen in ChatGPT für Gesundheit: Bewusstsein, Vertrauen und Nutzungsbereitschaft in Saudi-Arabien;Querschnittsstudie zur Wahrnehmung und Akzeptanz von ChatGPT als Gesundheitsinformationswerkzeug unter 429 Erwachsenen im Asir-Bundesstaat.;"70,4 % nutzten ChatGPT bereits; Bewusstsein moderat (höher bei jüngeren, Gebildeteren); 61,77 % bereit zur Nutzung. Multivariate Regression: Vertrauen (β=0,36, p<0,001) und Bewusstsein (β=0,41, p<0,001) positiv assoziiert mit Nutzungsbereitschaft; Risikowahrnehmung negativ (β=-0,12, p=0,019). Bedenken: Desinformation, Datenschutz, Überabhängigkeit.";"Gering übertragbar: Kontext Saudi-Arabiens grundlegend verschieden; nur Erkenntnisse zur Vertrauensbildung und Risikokommunikation relevant.";42698587;https://pubmed.ncbi.nlm.nih.gov/42698587/
2026-09-15;Schmid J et al.;17.07.2026;17.07.2026;Obes Surg;2026;Virtuelle Patientenschulung senkt Hürden und Emissionen in der Adipositaschirurgie;Deutsche Studie zur Akzeptanz virtueller Präoperativ-Schulungen bei Bariatrischen Patienten und Berechnung von CO₂-Einsparungen durch Entfall von Reisewegen.;"183 Patienten: 93,4 % bewerteten virtuelles Format als gleichwertig oder besser als Präsenz; 25 % hätten ohne virtuelles Angebot nicht teilgenommen. Gesamtvermeidung von 1,792 Tonnen CO₂-Äquivalente über Studienzeitraum. Durchschnittliche Anreiseentfernung 33,08 km.";Deutschland, direkt anwendbar: Deutsche Klinikdaten mit deutschem Transportmodell, systemische Barriereabbau durch Digitalisierung nachgewiesen.;42467324;https://pubmed.ncbi.nlm.nih.gov/42467324/
2026-09-14;Wu M et al.;24.08.2026;11.09.2026;Front Public Health;2026;eHealth-Kompetenz und physische Aktivität fördern soziale Anpassung bei Medizinstudierenden;Studie untersucht die Verbindungen zwischen eHealth-Literalität, körperlicher Aktivität und sozialer Anpassbarkeit bei 2.026 Medizinstudierenden im 1. und 2. Jahr in China mithilfe standardisierter Fragebögen.;Soziale Anpassbarkeit korrelierte positiv mit körperlicher Aktivität (Spearmans r = 0,219, p < 0,001) und eHealth-Literalität (Spearmans r = 0,348, p < 0,001). Im finalen Regressionsmodell blieb körperliche Aktivität (β = 0,124, p < 0,001) und eHealth-Literalität (β = 0,294, p < 0,001) nach Anpassung für Geschlecht und Studienjahrgang positiv assoziiert mit sozialer Anpassung. Das Modell erklärte 16,9% der Varianz.;"China – Bildungskontexte unterscheiden sich; eHealth-Literalität als Ressource für psychosoziale Gesundheit übertragbar";42725192;https://pubmed.ncbi.nlm.nih.gov/42725192/
2026-09-14;Summanwar D et al.;08.09.2026;08.09.2026;BMJ Open;2026;Maschinelles Lernen identifiziert Demenzrisiko: Sichere Messaging steigert Patienten-Engagement;Protokoll einer Machbarkeitsstudie in 12 amerikanischen Hausarztpraxen, die prüft, ob ein Passive-Digital-Marker-Modell aus elektronischen Patientenakten Patienten ≥65 Jahre mit Demenzrisiko identifiziert und ob Messaging vor Visiten zu Untersuchungen motiviert.;"Primäre Ziele sind Machbarkeit der Implementierung, PDM-basierte Risikoidentifikation, sichere Messaging-Zustellung und Engagement mit Brain Health Navigator (gemessen durch Öffnungsraten, Terminabsprachen). Studie läuft; NCT07016178 registriert.";"USA – starke Abhängigkeit von EHR-Integration und Infrastruktur; Ansatz der frühen digitalen Risikoidentifikation aber prinzipiell übertragbar";42711082;https://pubmed.ncbi.nlm.nih.gov/42711082/
2026-09-14;Khan M et al.;04.08.2026;30.08.2026;Europace;2026;Opportunistisches Screening für Vorhofflimmern: Hohe Teilnahme, aber begrenzte Bevölkerungsabdeckung;Cluster-randomisierte schwedische Studie (STROKESTOP III) vergleicht systematisches Screening per Einladung mit opportunistischem Screening bei Praxisbesuchen bei 75–76-Jährigen in 16 Hausarztpraxen.;"Systematisches Arm (n=1.312 eingeladen): 46,3% Teilnahme (607). Opportunistisch (n=1.390 anwesend): nur 46,1% (641) wurden auf Berechtigung überprüft; von 749 überprüften: 61,4% Teilnahme (374). Unter eingeladenen Personen höher (61,4% vs. 46,3%, p < 0,005); aber Gesamtabdeckung niedriger (25,3% vs. 42,2%, p < 0,005). Opportunistisches Screening erreichte höheres Risiko (CHA2DS2-VASc 3,99 vs. 3,60).";"Schweden – skandinavisches Versorgungssystem, Hausarzt-Gatekeeper; Dilemma zwischen Partizipation und Bevölkerungsabdeckung auch in Deutschland relevant";42669050;https://pubmed.ncbi.nlm.nih.gov/42669050/
